2019-05-22 15:59:53,163 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-05-22 15:59:54,167 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file /Users/lylaut/.dubbo/dubbo-registry-dubbo-admin-172.19.3.21:2181.cache, data: {*/com.richie.kafkaconsumer.dubbo.CityDubboService:*=consumer://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?application=consumer&category=consumers&check=false&dubbo=2.6.2&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&methods=findCityByName&pid=6159&revision=1.0.0&side=consumer&timestamp=1558510612657&version=1.0.0 empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=* empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=* dubbo://172.19.3.75:20880/com.richie.kafkaconsumer.dubbo.CityDubboService?anyhost=true&application=provider&dubbo=2.6.2&generic=false&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&methods=findCityByName&pid=6144&revision=1.0.0&side=provider&timeout=10000&timestamp=1558510545425&version=1.0.0, */com.richie.kafka.dubbo.CityDubboService:*=empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=* empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=* empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=* empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, */kafkaconsumer.dubbo.CityDubboService:*=empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=* empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=* empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=* empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*}, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,348 [main] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://172.19.3.21:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=6328&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D6328%26register.ip%3D169.254.165.15%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1558511994122&timestamp=1558511994146, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,360 [main] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,362 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://169.254.165.15?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,413 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,466 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*, empty://169.254.165.15/kafkaconsumer.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,469 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,676 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, urls: [empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*, empty://169.254.165.15/com.richie.kafka.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafka.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,678 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 169.254.165.15
2019-05-22 15:59:54,697 [main] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, urls: [dubbo://172.19.3.75:20880/com.richie.kafkaconsumer.dubbo.CityDubboService?anyhost=true&application=provider&dubbo=2.6.2&generic=false&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&methods=findCityByName&pid=6144&revision=1.0.0&side=provider&timeout=10000&timestamp=1558510545425&version=1.0.0, consumer://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?application=consumer&category=consumers&check=false&dubbo=2.6.2&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&methods=findCityByName&pid=6159&revision=1.0.0&side=consumer&timestamp=1558510612657&version=1.0.0, empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*, empty://169.254.165.15/com.richie.kafkaconsumer.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.richie.kafkaconsumer.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 169.254.165.15
